symbol,12M,1M,1W,3M,6M,9M
MAZDOCK,-30.0549,-1.9559,1.0754,0.3318,-20.5114,31.2652
MBEL,7.0476,-0.9398,0.3326,-5.6813,7.0476,7.0476
MCLOUD,-17.9315,4.5134,6.5697,-28.5583,-16.378,-8.4375
METAL,17.3719,3.0303,-0.6598,10.7143,14.4408,22.2738
METALIETF,17.0,2.9326,-0.8475,10.7256,14.7059,22.4419
MFSL,35.2079,9.1372,2.3173,1.8131,18.3451,59.0382
MGEL,-39.3327,-10.9536,-0.7184,-14.2148,6.0629,-51.3037
MICEL,-43.1207,-13.188,-4.3052,-2.8659,-18.9725,-25.3048
MID150CASE,12.173,1.9196,0.7227,4.1083,8.0426,20.4104
MIDCAPETF,11.7011,2.0207,0.6646,3.6024,7.5758,20.0211
MIDCAPIETF,11.6019,1.9965,0.0871,3.3723,7.732,20.0522
MMTC,-13.0924,-2.942,-1.1295,0.2443,7.2537,16.2976
MOBIKWIK,-51.9697,-4.4281,1.8065,10.3184,-6.7133,-18.5483
MODEFENCE,38.5834,1.8243,0.1872,7.8345,-1.9929,54.7542
MOGOLD,26.4093,-1.7758,0.7692,26.3452,26.4093,26.4093
MOM30IETF,-3.3681,-0.1847,1.1544,3.6445,5.6026,12.6477
MON100,40.3276,-0.7861,-1.8409,16.611,33.6864,16.7487
MOREALTY,-1.4373,0.2668,-0.5399,2.6552,0.492,11.2756
MOREPENLAB,-37.5995,-4.4798,-0.1726,-7.0137,-31.8155,-10.6066
MOSCHIP,15.1001,-15.634,0.8153,35.1711,29.1424,34.0463
MOSMALL250,2.509,-0.3484,0.4684,0.1751,4.4431,16.8937
MOTHERSON,-33.4101,3.848,4.1532,12.116,-25.8839,-14.7073
MOTILALOFS,11.614,-2.8471,0.2427,3.2335,25.6241,61.5943
MOTISONS,-38.1772,-0.2952,3.7469,-17.6098,-3.2092,-14.869
MRPL,16.3293,13.3967,-3.6557,37.3761,25.2497,48.6033
MSUMI,-21.4028,3.2508,3.3175,11.847,-16.2271,-2.3218
MTNL,-7.0426,-1.0843,-0.6053,-6.8527,-9.101,-12.6782
MUFIN,-9.7654,8.2654,-1.9016,23.0778,35.7401,50.6157
NAM-INDIA,27.4264,-9.2319,-0.8442,-0.3348,19.9208,62.2193
NATIONALUM,9.4361,16.166,-1.1631,36.5987,41.9681,30.6253
NAUKRI,-82.5618,0.915,-1.305,-5.1594,-9.4114,-82.4402
NAZARA,-70.3006,1.1645,6.7278,-77.5586,-78.9662,-70.3377
NBCC,26.8363,0.5816,0.4842,8.3025,0.9106,40.7745
NCC,-33.6827,-11.7771,-2.4684,-16.6229,-21.3691,-1.4821
NDL,-33.6777,1.5823,-1.2308,-5.8651,-21.5159,-13.4771
NESTLEIND,-42.5447,-1.0736,0.276,6.8302,-46.1574,-42.5901
NETWEB,27.5909,-11.7919,-1.5943,67.8219,89.8713,114.9422
NETWORK18,-45.4234,-4.853,-0.8571,-19.712,-4.7158,-0.0864
NEWGEN,-9.9248,6.8856,-1.9031,7.1046,-24.6355,-3.5872
NHPC,2.738,-7.232,-1.9416,-2.9725,-8.2286,0.5132
NIFTYBEES,11.567,0.3324,0.6911,3.6493,6.1324,14.5971
NIVABUPA,5.5119,2.8337,0.7235,-9.2342,-13.5193,-1.5177
NLCINDIA,8.6743,-4.5667,-2.9871,7.8013,6.2557,13.9289
NMDC,-65.6279,1.7411,1.0028,6.5859,7.5291,13.0223
NSLNISP,-1.7739,-0.3921,-1.5725,7.8133,11.0283,10.9712
NTPC,-10.4309,-3.9479,0.551,-3.962,-3.7932,0.6743
NTPCGREEN,-19.0464,-1.5003,0.4795,-6.37,-12.2125,-6.6982
NYKAA,53.2972,1.0292,-0.7213,15.5209,29.1352,58.4034
OIL,-7.5352,7.3473,0.2064,7.0711,4.4221,11.3277
OILIETF,15.4995,4.9194,1.1447,9.0829,7.9407,21.8719
ONEPOINT,-21.3851,12.0634,-0.8447,19.7542,-22.4008,5.4297
ONGC,-1.2168,-0.4583,-0.7416,4.0642,2.4538,3.2097
PACEDIGITK,0.6193,2.0233,4.259,0.6193,0.6193,0.6193
PAISALO,-20.5964,-11.8553,6.1168,11.8893,9.4995,-15.6641
PARADEEP,51.5414,-8.631,2.488,-24.2434,3.7096,84.6879
PARAGMILK,75.7616,17.2191,12.4662,44.9207,66.1889,125.6716
PARAS,-19.9979,7.6458,9.0094,12.4504,-52.6286,-14.3289
PARSVNATH,-32.5612,-6.9453,-3.1969,-6.9453,-27.5945,-32.5612
PATANJALI,-68.305,-0.4151,0.9099,-67.5929,-65.6518,-68.3451
PATELENG,-32.0076,-1.8589,3.0129,-7.6171,-14.2994,-20.1512
PAYTM,65.7354,-0.4826,-2.5064,4.1026,56.823,69.5751
PCJEWELLER,-27.1582,-4.3046,-6.4725,-11.4176,-5.1682,-2.4473
PENIND,23.0491,-3.3424,-2.643,-14.5692,5.4484,29.3982
PETRONET,-12.2374,-1.9355,-1.4232,-2.338,-14.5667,-9.2688
PFC,-18.4233,-5.8676,-0.1067,-7.1393,-7.8701,-3.8748
PFOCUS,39.2837,2.6576,6.1213,3.8742,74.1678,57.978
PFS,-10.1695,8.8822,-0.1385,-9.7646,-0.387,2.0096
PGEL,-7.4003,-1.0103,9.2404,7.7339,-23.5419,-30.0587
PHARMABEES,6.381,1.5666,1.8769,3.4116,6.0427,12.3195
PNB,21.5657,3.4801,0.1557,14.0977,21.7595,29.6658
PNBHOUSING,5.0795,5.3213,1.8809,13.229,-12.3432,13.7567
POLICYBZR,1.0902,5.8057,-3.2175,-9.5327,-1.4231,11.2526
POONAWALLA,31.6868,-8.3415,0.1601,1.3829,18.6196,61.4591
POWERGRID,-13.0588,-5.864,1.3637,-5.9293,-6.7377,3.5892
PPLPHARMA,-22.9275,-0.7824,-0.0978,1.1679,-5.9568,-7.1849
PRECWIRE,58.6489,29.9923,16.8329,52.782,49.3596,86.5702
PREMIERENE,-8.0361,-5.1426,-2.6534,-3.8169,-7.9003,2.7862
PRICOLLTD,30.6163,9.4445,-0.2121,31.1845,32.5296,35.7572
