trade_date,avg_price_change,median_price_change,price_volatility,stocks_traded,avg_intraday_volatility,median_volatility,max_volatility,total_volume,total_turnover,unique_stocks,advance_decline_ratio,advancing_stocks,declining_stocks,unchanged_stocks,moon_sign,moon_degree,element,quality,ruling_planet,predicted_volatility,risk_level,market_tendency,sign_numeric,element_numeric,quality_numeric
2025-04-29,0.2388,0.0377,0.9653,8,1.9734,1.8554,2.9832,80231184,120384846000.0,8,0.625,5,3,0,Taurus,27.22,Earth,Fixed,Venus,0.7,Low,Steady Accumulation,10,1,1
2025-04-30,-0.0864,0.2172,1.2712,8,2.5415,2.534,4.1446,102861021,151773189000.0,8,0.625,5,3,0,Gemini,13.73,Air,Mutable,Mercury,1.2,Medium-High,Quick Reversals,4,0,2
2025-05-02,0.2222,0.2649,0.6003,8,1.7487,1.7032,2.7808,74947045,112376384000.0,8,0.625,5,3,0,Cancer,16.34,Water,Cardinal,Moon,1.3,High,Emotional Extremes,2,3,0
2025-05-05,-0.1002,-0.1103,0.5446,8,1.4131,1.3889,2.1739,59834920,82277886000.0,8,0.375,3,5,0,Leo,27.3,Fire,Fixed,Sun,1.1,Medium,Strong Leadership,5,2,1
2025-05-06,-0.2821,0.044,0.9905,8,1.4964,1.2955,3.533,63889082,93563492000.0,8,0.5714285714285714,4,3,1,Virgo,8.8,Earth,Mutable,Mercury,0.9,Low-Medium,Analytical Corrections,11,1,2
2025-05-07,0.3028,0.5766,0.7764,8,1.5799,1.5036,2.3324,65363527,99117777000.0,8,0.625,5,3,0,Virgo,19.64,Earth,Mutable,Mercury,0.9,Low-Medium,Analytical Corrections,11,1,2
2025-05-08,-0.3918,-0.0947,0.7466,8,1.8283,1.725,2.8883,82979110,132174275000.0,8,0.5,4,4,0,Libra,0.12,Air,Cardinal,Venus,0.8,Low,Balanced Trading,6,0,0
2025-05-09,0.5238,0.052,1.8938,8,2.2194,1.7755,4.3831,65667028,106100125000.0,8,0.5,4,4,0,Libra,10.49,Air,Cardinal,Venus,0.8,Low,Balanced Trading,6,0,0
2025-05-12,2.3917,2.3596,1.798,8,3.1324,2.9983,6.5062,65690774,104388529000.0,8,0.5,8,0,0,Scorpio,13.33,Water,Fixed,Mars,1.5,Very High,Deep Transformations,9,3,1
2025-05-13,-1.4424,-1.3234,1.1674,8,2.3359,2.3005,3.5882,77015266,124457940000.0,8,0.125,1,7,0,Scorpio,25.43,Water,Fixed,Mars,1.5,Very High,Deep Transformations,9,3,1
2025-05-14,0.078,-0.0146,0.6605,8,1.5897,1.4517,2.7596,47432656,79255548000.0,8,0.5,4,4,0,Sagittarius,8.23,Fire,Mutable,Jupiter,1.0,Medium,Expansive Growth,8,2,2
2025-05-15,1.0976,0.998,0.6049,8,2.6777,2.6867,3.4175,98774785,160127765000.0,8,0.5,8,0,0,Sagittarius,21.62,Fire,Mutable,Jupiter,1.0,Medium,Expansive Growth,8,2,2
2025-05-16,-0.6993,-0.9656,0.6942,8,1.2345,1.2282,1.9286,146327877,250105126000.0,8,0.375,3,5,0,Capricorn,5.37,Earth,Cardinal,Saturn,0.6,Very Low,Disciplined Climb,3,1,0
2025-05-19,-0.3022,-0.164,0.5343,8,1.1603,1.1143,1.8585,46681014,74863837000.0,8,0.375,3,5,0,Aquarius,15.99,Air,Fixed,Saturn,1.1,Medium,Innovation Spurts,0,0,1
2025-05-20,-0.9168,-0.8865,0.5309,8,1.6621,1.6223,2.1488,69114470,110810902000.0,8,0.5,0,8,0,Aquarius,28.81,Air,Fixed,Saturn,1.1,Medium,Innovation Spurts,0,0,1
2025-05-21,0.2778,0.2485,0.2666,8,1.2555,1.2383,1.5565,41429793,67426589000.0,8,0.875,7,1,0,Pisces,11.36,Water,Mutable,Jupiter,1.2,Medium-High,Intuitive Flows,7,3,2
2025-05-22,-0.2749,-0.4316,0.545,8,1.3034,1.2724,1.8928,53677015,87816921000.0,8,0.375,3,5,0,Pisces,23.86,Water,Mutable,Jupiter,1.2,Medium-High,Intuitive Flows,7,3,2
2025-05-23,0.7796,0.7703,0.3776,8,1.6479,1.5701,2.4,32888697,53147467000.0,8,0.5,8,0,0,Aries,6.61,Fire,Cardinal,Mars,1.4,High,Aggressive Bull Runs,1,2,0
